Object: ring, Seed: 7144, Result: 0, vel: 5.21293741358209, roll:0.061287670540616845, pos:[-0.11238237040412175, -0.11281214117009863, 0], ori:[-4.0045152642424515, 90, 6.210653379506525]
Object: ring, Seed: 92691, Result: 0, vel: 5.660691176438746, roll:-0.1754399261666862, pos:[-0.03606792994952063, -0.9919366565519953, 0], ori:[-2.410084822396872, 90, -9.226253934223426]
Object: ring, Seed: 35131, Result: 1, vel: 5.316162554728616, roll:0.23702262653706302, pos:[-0.05986361344661045, -0.32463833342695425, 0], ori:[1.4797478290671169, 90, 13.512215759576012]
Object: ring, Seed: 73467, Result: 1, vel: 5.875201207232719, roll:0.26090623917203887, pos:[-0.07689973403935982, 0.0040833714331938165, 0], ori:[-1.9035505362474625, 90, 2.623537418737662]
Object: ring, Seed: 11261, Result: 0, vel: 5.47050818414378, roll:-0.281110968984099, pos:[0.0511255103996911, -0.9638872524396913, 0], ori:[-2.495712205856826, 90, -9.598685374958013]
Object: ring, Seed: 69796, Result: 0, vel: 5.739143515515438, roll:0.0706471563262947, pos:[0.010714217782514746, 0.8246445211956062, 0], ori:[2.130788798529024, 90, 12.399201652962063]
Object: ring, Seed: 57244, Result: 0, vel: 5.761566091021817, roll:0.24666016521731565, pos:[-0.18968847828255692, -0.659509803894914, 0], ori:[-1.1461409846065052, 90, -3.301447816780664]
Object: ring, Seed: 92954, Result: 0, vel: 5.8143453361911215, roll:-0.039450943880047384, pos:[-0.1653676711399072, -0.025891971441734496, 0], ori:[-1.4263641476045752, 90, 10.288102302787777]
Object: ring, Seed: 68322, Result: 1, vel: 5.996190089233215, roll:-0.008278842558141042, pos:[-0.29022406006452656, 0.4585913290033412, 0], ori:[-2.335196225266669, 90, -3.081251698756793]
Object: ring, Seed: 84111, Result: 0, vel: 5.573387728288704, roll:0.18863700047452597, pos:[-0.1481691277133011, -0.8905667070337018, 0], ori:[-4.51619672573168, 90, -4.223823383213359]
Object: ring, Seed: 19037, Result: 0, vel: 5.439307581800469, roll:0.1004287710692629, pos:[-0.059422378363710615, -0.9196075920811925, 0], ori:[-4.768696404633469, 90, 3.042650389050472]
Object: ring, Seed: 2932, Result: 0, vel: 5.4402438823855634, roll:-0.1818150432208668, pos:[-0.1944661343450821, -0.8792976512448145, 0], ori:[0.42903238967350266, 90, -7.324363740927266]
Object: ring, Seed: 14828, Result: 1, vel: 5.627889796107601, roll:0.299375391718749, pos:[-0.10129662512887203, -0.7464782535918801, 0], ori:[-2.8252892929677262, 90, 11.662135112953258]
Object: ring, Seed: 94031, Result: 0, vel: 5.460856751151085, roll:0.25037460497959624, pos:[-0.2058499174902419, 0.17059910300834136, 0], ori:[4.009371976008513, 90, -5.081751757310727]
Object: ring, Seed: 57565, Result: 0, vel: 5.104524238946002, roll:0.12361458145403859, pos:[-0.19582157223631158, 0.09461369254997232, 0], ori:[3.7949501597650723, 90, 10.39751279214104]
Object: ring, Seed: 84046, Result: 0, vel: 5.751379236022802, roll:-0.12855008920692815, pos:[-0.1317400500761804, 0.8144999828319655, 0], ori:[2.879193575058192, 90, -12.714707026464092]
Object: ring, Seed: 36648, Result: 0, vel: 5.387040623322839, roll:0.0484263536113243, pos:[-0.23420180827126047, 0.4772389633693077, 0], ori:[3.5201439313671585, 90, -6.142703326629263]
Object: ring, Seed: 54920, Result: 0, vel: 5.243776554481838, roll:-0.29923920992530434, pos:[0.05169070789184682, -0.4457673709097715, 0], ori:[1.6427930321920536, 90, -1.3733186281315515]
