Object: noodle, Seed: 5373, Result: 1, vel: 5.990639605174434, pos:[-0.16311100901128966, 0.15195267718477845, 0], ori:[90, 3.132678136858271, -0.25656854433883325]
Object: noodle, Seed: 609, Result: 1, vel: 5.91483249846233, pos:[-0.27924186775301557, 0.17432984558514586, 0], ori:[90, -4.286159954736109, -1.74176649949945]
Object: noodle, Seed: 6755, Result: 1, vel: 5.219281938057066, pos:[-0.29801675176076925, -0.12657597836187195, 0], ori:[90, -2.060231676950818, -13.84096861699357]
Object: noodle, Seed: 7835, Result: 1, vel: 5.37529916212614, pos:[-0.11811982836413495, -0.040194907605137886, 0], ori:[90, -3.7908323828166224, 0.09567963203122432]
Object: noodle, Seed: 6312, Result: 0, vel: 5.253170508927057, pos:[-0.07630805150188522, 0.00018012444125392602, 0], ori:[90, -4.569105490189278, -8.165927133476877]
Object: noodle, Seed: 6734, Result: 0, vel: 5.947265242520531, pos:[-0.07898246475053872, 0.3239070627358429, 0], ori:[90, 4.800115572284746, 1.0554843862481924]
Object: noodle, Seed: 6864, Result: 0, vel: 5.805801452303813, pos:[-0.12797432808266812, 0.17507258457874175, 0], ori:[90, 1.5420767115423972, 0.9489803737860214]
Object: noodle, Seed: 4871, Result: 1, vel: 5.441306906216264, pos:[-0.06446679718153286, 0.3565725764322619, 0], ori:[90, -0.5672612327707425, 1.720518631575695]
Object: noodle, Seed: 8615, Result: 0, vel: 5.095381002162884, pos:[-0.16208546993666414, 0.4552371081918899, 0], ori:[90, -3.5780340090685527, -5.893345532142616]
Object: noodle, Seed: 6660, Result: 0, vel: 5.94304161506036, pos:[-0.2013244640345165, 0.37215556244753245, 0], ori:[90, 1.7693427536942892, 11.279203456901435]
Object: noodle, Seed: 5420, Result: 0, vel: 5.320251770863049, pos:[-0.2287086814177227, 0.2224615450373827, 0], ori:[90, -4.6005259785763535, -4.7170935323975876]
Object: noodle, Seed: 1938, Result: 1, vel: 5.88318311346676, pos:[-0.05174234937744748, 0.48565899480286223, 0], ori:[90, -4.177388123537456, 12.622202748404618]
Object: noodle, Seed: 7293, Result: 0, vel: 5.015896280929921, pos:[-0.09261553520069551, -0.3790948598539078, 0], ori:[90, -1.0214256511511408, -4.245556023832734]
Object: noodle, Seed: 556, Result: 1, vel: 5.605103689488088, pos:[-0.08861217530420923, 0.06139432729200167, 0], ori:[90, 0.03319895120585237, 13.929387988196954]
Object: noodle, Seed: 3741, Result: 0, vel: 5.706943114223287, pos:[-0.09299710191967803, 0.3690915709789475, 0], ori:[90, 4.059719580044515, 6.963272748568464]
Object: noodle, Seed: 2414, Result: 0, vel: 5.5315938170495365, pos:[-0.19238051056448863, 0.2224121626502914, 0], ori:[90, 0.8796160062989511, -7.265058373122644]
Object: noodle, Seed: 5435, Result: 0, vel: 5.600380868896643, pos:[-0.12264376684848613, 0.23725458090653795, 0], ori:[90, 2.9557701050077387, -0.05727361613045545]
Object: noodle, Seed: 8409, Result: 1, vel: 5.4879089333500355, pos:[-0.24252066940189318, 0.07153304344602274, 0], ori:[90, -0.2707735926042165, 5.234573896204331]
Object: noodle, Seed: 8057, Result: 0, vel: 5.453361284021715, pos:[-0.07996156990979778, 0.2311368714092632, 0], ori:[90, -1.3503841879106169, 4.093722254112805]
Object: noodle, Seed: 1106, Result: 0, vel: 5.818364871659657, pos:[-0.27545192636815646, -0.38422404739084715, 0], ori:[90, 4.6493706769641925, 7.085929715048021]
