Object: cuboid, Seed: 58928, Result: 0, vel: 5.976654431240649, roll:0.10412239397355977, pos:[0.08442220086846924, -0.3156255796292725, 0], ori:[3.129005775267272, 90, -5.367098028673855]
Object: cuboid, Seed: 97520, Result: 1, vel: 5.693479744152594, roll:0.18468957521319634, pos:[-0.29082669315457227, 0.5439270176027702, 0], ori:[0.2460571250493171, 90, -13.944102219074816]
Object: cuboid, Seed: 92466, Result: 0, vel: 5.109803003060725, roll:-0.17359760574888863, pos:[-0.1800268619382308, -0.7957757246667202, 0], ori:[1.1486994364868162, 90, -1.9700798835788973]
Object: cuboid, Seed: 70114, Result: 1, vel: 5.012420134916125, roll:-0.26722665639023835, pos:[-0.29892355585562674, -0.8986464561617112, 0], ori:[-1.674230914596604, 90, 7.3460751327943825]
Object: cuboid, Seed: 85934, Result: 0, vel: 5.575115257582129, roll:0.057153548427850476, pos:[-0.2917798834070138, -0.2792809761766394, 0], ori:[1.6976534846882867, 90, -12.527179723172855]
Object: cuboid, Seed: 60126, Result: 1, vel: 5.751824926229354, roll:0.06012090740238635, pos:[-0.2158513720242553, 1.1149189535469628, 0], ori:[-1.9322284918311219, 90, 9.33672623085075]
Object: cuboid, Seed: 25847, Result: 1, vel: 5.432259526922383, roll:-0.04497574363385759, pos:[-0.11696193102317617, 0.8916976200127886, 0], ori:[-3.092360075102334, 90, -8.49611194184674]
Object: cuboid, Seed: 50455, Result: 0, vel: 5.70710992437972, roll:-0.11268512720014914, pos:[-0.21349835146593704, 0.9322292975289159, 0], ori:[3.1162123079725497, 90, 8.265089952236501]
Object: cuboid, Seed: 4533, Result: 0, vel: 5.418457821946393, roll:-0.011471039298984853, pos:[0.024709810220022332, -0.08219502597187622, 0], ori:[-1.7337933564370225, 90, -2.642077968028774]
Object: cuboid, Seed: 25363, Result: 0, vel: 5.760645276493961, roll:0.1489203781624907, pos:[-0.2951385930572556, 1.0851478924469464, 0], ori:[4.950555116841935, 90, -4.202910435073321]
Object: cuboid, Seed: 22345, Result: 1, vel: 5.1299815653180545, roll:0.06943656559197758, pos:[-0.008316193510085113, 0.3717853158053539, 0], ori:[0.4246076091162445, 90, -10.98755803994194]
Object: cuboid, Seed: 30567, Result: 0, vel: 5.574318980933217, roll:-0.2820217115847631, pos:[-0.25627401746179285, 0.3001245210151855, 0], ori:[-4.044462124965551, 90, -8.005286526174437]
Object: cuboid, Seed: 58814, Result: 1, vel: 5.319132165034148, roll:-0.09806414165573143, pos:[-0.046191675390114095, -0.4918396777373407, 0], ori:[4.244649649267684, 90, -3.3471591045482594]
